一	j ɐ t
兒	ŋ ɐi
兒	j i:
乞	h ɐ t
丐	kʰ ɔ:i
食	s ɪ k
食	j i:
食	t s i:
討	tʰ ou
援	j y: n
援	w u: n
也	j a:
好	h ou
有	j ɐu
能	n ɐ ŋ
許	h ɵy
亡	m ɔ: ŋ
亡	m ou
妻	t sʰ ɐi
靈	l ɛ: ŋ
靈	l ɪ ŋ
是	s i:
塵	t sʰ ɐ n
千	t sʰ i: n
古	k u:
金	k ɐ m
萬	m a: n
腰	j i:u
吃	j a: k
吃	h ɐ t
吃	k ɐ t
吃	h ɛ: k
吻	m ɐ n
技	k ei
角	k ɔ: k
角	l ʊ k
供	k ʊ ŋ
服	f ʊ k
信	s ɵ n
型	j ɪ ŋ
紅	h ʊ ŋ
紅	k ʊ ŋ
音	j ɐ m
哨	s a:u
徑	k ɪ ŋ
袋	t ɔ:i
訣	kʰ y: t
渴	h ɔ: t
琴	kʰ ɐ m
腔	h ɔ: ŋ
傳	t s y: n
傳	t sʰ y: n
碑	p ei
罩	t s a:u
號	h ou
試	s i:
福	f ʊ k
語	j y:
德	t ɐ k
齒	t sʰ i:
譯	j ɪ k
土	tʰ ou
地	t ei
地	t ɛ: ŋ
法	f a: t
匪	f ei
堆	t ɵy
產	t sʰ a: n
著	t s œ: k
著	t s y:
話	w a:
製	t s ɐi
豪	h ou
牆	t sʰ œ: ŋ
壤	j œ: ŋ
兵	p ɪ ŋ
卒	t sʰ y: t
卒	t s ɵ t
官	k u: n
族	t s ʊ k
陽	j œ: ŋ
大	t a:i
小	s i:u
戶	w u:
多	t ɔ:
考	h a:u
臣	s ɐ n
作	t s ɔ: k
批	pʰ ɐi
旱	h ɔ: n
肚	tʰ ou
使	s i:
使	s ɐi
典	t i: n
抵	t ɐi
於	w u:
於	j y:
姨	j i:
洋	j œ: ŋ
約	j œ: k
哥	k ɔ:
哭	h ʊ k
娘	n œ: ŋ
師	s i:
堂	tʰ ɔ: ŋ
專	t s y: n
敗	p a:i
眾	t s ʊ ŋ
都	t ou
陸	l ʊ k
麥	m ɐ k
麥	m a: k
麻	m a:
喊	h a: m
喊	h ɐ m
幅	f ʊ k
象	t s œ: ŋ
隊	t ɵy
媽	m a:
嫂	s ou
廈	h a:
意	j i:
殿	t i: n
煙	j i: n
爺	j ɛ:
肆	s i:
肆	s ei
葱	t sʰ ʊ ŋ
鼓	k u:
漠	m ɔ: k
漢	h ɔ: n
綱	k ɔ: ŋ
腿	tʰ ɵy
蒜	s y: n
戲	h ei
戲	f u:
膽	t a: m
舉	k ɵy
賽	t sʰ ɔ:i
廳	tʰ ɛ: ŋ
女	n ɵy
女	j y:
女	l ɵy
友	j ɐu
王	w ɔ: ŋ
巫	m ou
俠	h ɐ p
俠	h a: p
孩	h a:i
孩	h ɔ:i
星	s ɪ ŋ
星	s ɛ: ŋ
皇	w ɔ: ŋ
郎	l ɔ: ŋ
婿	s ɐi
廁	t sʰ ɐ k
廁	t sʰ i:
傭	j ʊ ŋ
裝	t s ɔ: ŋ
僕	p ʊ k
警	k ɪ ŋ
夜	j ɛ:
孫	s y: n
宮	k ʊ ŋ
彈	tʰ a: n
彈	t a: n
丑	t sʰ ɐu
巧	h a:u
巧	kʰ i:u
舟	t s ɐu
弟	t ɐi
弟	t i:
弟	tʰ ɐi
妹	m u:i
姐	t s ɛ:
便	p i: n
便	pʰ i: n
屋	ʊ k
屋	ŋ ʊ k
看	h ɔ: n
偷	tʰ ɐu
組	t s ou
販	f a: n
趾	t s i:
鳥	n i:u
湖	w u:
菜	t sʰ ɔ:i
費	f ɐi
費	p ei
楷	kʰ a:i
楷	k a:i
溪	kʰ ɐi
節	t s i: t
艇	tʰ ɛ: ŋ
艇	tʰ ɪ ŋ
凳	t ɐ ŋ
說	s y: t
說	j y: t
說	s ɵy
寫	s ɛ:
調	t ɛ:u
調	tʰ i:u
調	t i:u
鎮	t s ɐ n
川	t sʰ y: n
丘	j ɐu
羊	j œ: ŋ
芋	w u:
谷	j ʊ k
谷	k ʊ k
林	l ɐ m
河	h ɔ:
洞	t ʊ ŋ
峰	f ʊ ŋ
脈	m ɐ k
脊	t s ɛ: k
脊	t s ɪ k
區	kʰ ɵy
區	ɐu
崖	ŋ a:i
莊	t s ɔ: ŋ
野	j ɛ:
頂	t ɪ ŋ
頂	t ɛ: ŋ
勢	s ɐi
楂	t s a:
楂	t sʰ a:
溝	k ɐu
溝	kʰ ɐu
腳	k œ: k
賊	t sʰ a: k
寨	t s a:i
寨	t s ɐi
歌	k ɔ:
澗	k a: n
嶺	l ɪ ŋ
嶺	l ɛ: ŋ
巒	l y: n
巔	t i: n
匠	t s œ: ŋ
序	t s ɵy
科	f ɔ:
程	t sʰ ɪ ŋ
業	j i: p
蜂	f ʊ ŋ
資	t s i:
廠	t sʰ ɔ: ŋ
整	t s ɪ ŋ
錢	t sʰ i: n
錢	t s i: n
藝	ŋ ɐi
已	j i:
故	k u:
婚	f ɐ n
干	k ɔ: n
戈	k w ɔ:
犯	f a: n
