一	j ɐ t
本文	p u: n m ɐ n
本月	p u: n j y: t
本市	p u: n s i:
本份	p u: n f ɐ n
本地	p u: n t ei
本年	p u: n l i: n
本色	p u: n s ɪ k
本行	p u: n h ɐ ŋ
本位	p u: n w ɐi
本身	p u: n s ɐ n
本事	p u: n s i:
本來	p u: n l ɔ:i
本性	p u: n s ɪ ŋ
本金	p u: n k ɐ m
本科	p u: n f ɔ:
本校	p u: n h a:u
本案	p u: n ŋ ɔ: n
本能	p u: n l ɐ ŋ
本能	p u: nn ɐ ŋ
本國	p u: n k w ɔ: k
本埠	p u: n f ɐu
本票	p u: n pʰ i:u
本部	p u: n p ou
本報	p u: n p ou
本意	p u: n j i:
本業	p u: n j i: p
本義	p u: n j i:
本該	p u: n k ɔ:i
本領	p u: n l ɪ ŋ
本質	p u: n t s ɐ t
本錢	p u: n t sʰ i: n
本體	p u: n tʰ ɐi
札記	t s a: t k ei
正中	t s ɪ ŋ t s ʊ ŋ
正午	t s ɪ ŋŋ
正反	t s ɪ ŋ f a: n
正文	t s ɪ ŋ m ɐ n
正方	t s ɪ ŋ f ɔ: ŋ
正月	t s ɪ ŋ j y: t
正比	t s ɪ ŋ p ei
正北	t s ɪ ŋ p ɐ k
正史	t s ɪ ŋ s i:
正本	t s ɪ ŋ p u: n
正名	t s ɪ ŋ m ɪ ŋ
正在	t s ɪ ŋ t s ɔ:i
正好	t s ɪ ŋ h ou
正式	t s ɪ ŋ s ɪ k
正宗	t s ɪ ŋ t s ʊ ŋ
正房	t s ɪ ŋ f ɔ: ŋ
正東	t s ɪ ŋ t ʊ ŋ
正法	t s ɪ ŋ f a: t
正直	t s ɪ ŋ t s ɪ k
正門	t s ɪ ŋ m u: n
正是	t s ɪ ŋ s i:
正派	t s ɪ ŋ pʰ a:i
正軌	t s ɪ ŋ k w ɐi
正面	t s ɪ ŋ m i: n
正音	t s ɪ ŋ j ɐ m
正值	t s ɪ ŋ t s ɪ k
正氣	t s ɪ ŋ h ei
正常	t s ɪ ŋ s œ: ŋ
正統	t s ɪ ŋ tʰ ʊ ŋ
正規	t s ɪ ŋ kʰ w ɐi
正途	t s ɪ ŋ tʰ ou
正牌	t s ɪ ŋ pʰ a:i
正牌	t s ɛ: ŋ pʰ a:i
正視	t s ɪ ŋ s i:
正傳	t s ɪ ŋ t sʰ y: n
正極	t s ɪ ŋ k ɪ k
正楷	t s ɪ ŋ kʰ a:i
正殿	t s ɪ ŋ t i: n
正當	t s ɪ ŋ t ɔ: ŋ
正經	t s ɪ ŋ k ɪ ŋ
正義	t s ɪ ŋ j i:
正路	t s ɪ ŋ l ou
正數	t s ɪ ŋ s ou
正確	t s ɪ ŋ kʰ ɔ: k
正餐	t s ɪ ŋ t sʰ a: n
正點	t s ɪ ŋ t i: m
正職	t s ɪ ŋ t s ɪ k
正題	t s ɪ ŋ tʰ ɐi
正體	t s ɪ ŋ tʰ ɐi
母女	m ou l ɵy
母子	m ou t s i:
母牛	m ouɐu
母后	m ou h ɐu
母系	m ou h ɐi
母性	m ou s ɪ ŋ
母狗	m ou k ɐu
母校	m ou h a:u
母愛	m ouɔ:i
母語	m ou j y:
母豬	m ou t s y:
母親	m ou t sʰ ɐ n
母雞	m ou k ɐi
母艦	m ou l a: m
母體	m ou tʰ ɐi
民工	m ɐ n k ʊ ŋ
民主	m ɐ n t s y:
民生	m ɐ n s ɐ ŋ
民用	m ɐ n j ʊ ŋ
民兵	m ɐ n p ɪ ŋ
民事	m ɐ n s i:
民初	m ɐ n t sʰ ɔ:
民俗	m ɐ n t s ʊ k
民怨	m ɐ n j y: n
民政	m ɐ n t s ɪ ŋ
民風	m ɐ n f ʊ ŋ
民航	m ɐ n h ɔ: ŋ
民情	m ɐ n t sʰ ɪ ŋ
民族	m ɐ n t s ʊ k
民望	m ɐ n m ɔ: ŋ
民眾	m ɐ n t s ʊ ŋ
民間	m ɐ n k a: n
民意	m ɐ n j i:
民歌	m ɐ n k ɔ:
民憤	m ɐ n f ɐ n
民辦	m ɐ n p a: n
民選	m ɐ n s y: n
民營	m ɐ n j ɪ ŋ
民謠	m ɐ n j i:u
民權	m ɐ n kʰ y: n
永久	w ɪ ŋ k ɐu
永世	w ɪ ŋ s ɐi
永生	w ɪ ŋ s ɐ ŋ
永別	w ɪ ŋ p i: t
永恆	w ɪ ŋ h ɐ ŋ
永眠	w ɪ ŋ m i: n
永訣	w ɪ ŋ kʰ y: t
永遠	w ɪ ŋ j y: n
氾濫	f a: n l a: m
汁液	t s ɐ p j ɪ k
犯人	f a: n j ɐ n
犯上	f a: n s œ: ŋ
犯忌	f a: n k ei
犯戒	f a: n k a:i
犯事	f a: n s i:
犯法	f a: n f a: t
犯案	f a: n ɔ: n
犯規	f a: n kʰ w ɐi
犯禁	f a: n k ɐ m
犯罪	f a: n t s ɵy
犯賤	f a: n t s i: n
犯錯	f a: n t sʰ ɔ:
玄妙	j y: n m i:u
玄學	j y: n h ɔ: k
玄機	j y: n k ei
玄關	j y: n k w a: n
玉女	j ʊ k l ɵy
玉女	j ʊ k n ɵy
玉手	j ʊ k s ɐu
玉石	j ʊ k s ɛ: k
玉米	j ʊ k m ɐi
玉佛	j ʊ k f ɐ t
玉佩	j ʊ k pʰ u:i
玉兔	j ʊ k tʰ ou
玉珮	j ʊ k pʰ u:i
玉釵	j ʊ k t sʰ a:i
玉照	j ʊ k t s i:u
玉器	j ʊ k h ei
玉雕	j ʊ k t i:u
玉臂	j ʊ k p ei
玉簪	j ʊ k t s a: m
玉璽	j ʊ k s a:i
玉鐲	j ʊ k t s ʊ k
玉鈪	j ʊ k a: k
玉鈪	j ʊ k ŋ a: k
瓜子	k w a: t s i:
瓜分	k w a: f ɐ n
瓜棚	k w a: pʰ a: ŋ
瓜菜	k w a: t sʰ ɔ:i
瓜葛	k w a: k ɔ: t
瓜藤	k w a: tʰ ɐ ŋ
瓦片	ŋ a: pʰ i: n
瓦盆	a: pʰ u: n
瓦煲	a: p ou
瓦煲	ŋ a: p ou
瓦解	ŋ a: k a:i
瓦器	ŋ a: h ei
瓦礫	ŋ a: l ɪ k
瓦礫	a: l ɪ k
甘心	k ɐ m s ɐ m
甘於	k ɐ m j y:
甘泉	k ɐ m t sʰ y: n
甘苦	k ɐ m f u:
甘脆	k ɐ m t sʰ ɵy
甘草	k ɐ m t sʰ ou
甘甜	k ɐ m tʰ i: m
甘蔗	k ɐ m t s ɛ:
甘薯	k ɐ m s y:
甘願	k ɐ m j y: n
甘露	k ɐ m l ou
生下	s a: ŋ h a:
生手	s a: ŋ s ɐu
生日	s a: ŋ j ɐ t
生火	s ɐ ŋ f ɔ:
生父	s ɐ ŋ f u:
生出	s a: ŋ t sʰ ɵ t
生平	s ɐ ŋ pʰ ɪ ŋ
生母	s ɐ ŋ m ou
生字	s ɐ ŋ t s i:
生存	s ɐ ŋ t sʰ y: n
生成	s ɐ ŋ s ɪ ŋ
生死	s ɐ ŋ s ei
生冷	s a: ŋ l a: ŋ
生肖	s ɐ ŋ t sʰ i:u
生育	s ɐ ŋ j ʊ k
生辰	s ɐ ŋ s ɐ n
生事	s ɐ ŋ s i:
生命	s ɐ ŋ m ɛ: ŋ
生怕	s a: ŋ pʰ a:
生性	s ɐ ŋ s ɪ ŋ
生性	s a: ŋ s ɪ ŋ
生物	s a: ŋ m ɐ t
生長	s a: ŋ t s œ: ŋ
生前	s ɐ ŋ t sʰ i: n
生活	s ɐ ŋ w u: t
生計	s a: ŋ k ɐi
生效	s ɐ ŋ h a:u
生氣	s a: ŋ h ei
生病	s a: ŋ p ɛ: ŋ
生財	s a: ŋ t sʰ ɔ:i
生動	s ɐ ŋ t ʊ ŋ
生涯	s ɐ ŋ a:i
生涯	s ɐ ŋŋ a:i
生理	s ɐ ŋ l ei
生產	s ɐ ŋ t sʰ a: n
生疏	s a: ŋ s ɔ:
生殖	s ɐ ŋ t s ɪ k
生硬	s ɐ ŋ a: ŋ
生硬	s ɐ ŋŋ a: ŋ
生菜	s a: ŋ t sʰ ɔ:i
生意	s a: ŋ j i:
生路	s a: ŋ l ou
生態	s ɐ ŋ tʰ a:i
生疑	s a: ŋ j i:
生擒	s ɐ ŋ kʰ ɐ m
生機	s ɐ ŋ k ei
生澀	s a: ŋ s ɐ p
生薑	s a: ŋ k œ: ŋ
生還	s a: ŋ w a: n
生鐵	s a: ŋ tʰ i: t
用人	j ʊ ŋ j ɐ n
用力	j ʊ ŋ l ɪ k
用上	j ʊ ŋ s œ: ŋ
用心	j ʊ ŋ s ɐ m
用戶	j ʊ ŋ w u:
用功	j ʊ ŋ k ʊ ŋ
用光	j ʊ ŋ k w ɔ: ŋ
用刑	j ʊ ŋ j ɪ ŋ
用地	j ʊ ŋ t ei
用作	j ʊ ŋ t s ɔ: k
用兵	j ʊ ŋ p ɪ ŋ
用完	j ʊ ŋ j y: n
用來	j ʊ ŋ l ɔ:i
用具	j ʊ ŋ k ɵy
用典	j ʊ ŋ t i: n
用武	j ʊ ŋ m ou
用法	j ʊ ŋ f a: t
用品	j ʊ ŋ p ɐ n
用計	j ʊ ŋ k ɐi
用情	j ʊ ŋ t sʰ ɪ ŋ
用掉	j ʊ ŋ t ɛ:u
用畢	j ʊ ŋ p ɐ t
用處	j ʊ ŋ t sʰ y:
用途	j ʊ ŋ tʰ ou
用費	j ʊ ŋ f ɐi
用意	j ʊ ŋ j i:
用電	j ʊ ŋ t i: n
用語	j ʊ ŋ j y:
用膳	j ʊ ŋ s i: n
用餐	j ʊ ŋ t sʰ a: n
甩手	l ɐ t s ɐu
甩掉	l ɐ tt ɛ:u
甩脫	l ɐ t tʰ y: t
甩開	l ɐ t h ɔ:i
田地	tʰ i: n t ei
田契	tʰ i: n kʰ ɐi
田徑	tʰ i: n k ɪ ŋ
田租	tʰ i: n t s ou
田產	tʰ i: n t sʰ a: n
田野	tʰ i: n j ɛ:
田間	tʰ i: n k a: n
田園	tʰ i: n j y: n
田鼠	tʰ i: n s y:
田螺	tʰ i: n l ɔ:
田雞	tʰ i: n k ɐi
田邊	tʰ i: n p i: n
由此	j ɐu t sʰ i:
由來	j ɐu l ɔ:i
由於	j ɐu j y:
由衷	j ɐu t sʰ ʊ ŋ
甲板	k a: pp a: n
甲級	k a: p kʰ ɐ p
甲殼	k a: p h ɔ: k
甲等	k a: p t ɐ ŋ
甲蟲	k a: p t sʰ ʊ ŋ
申令	s ɐ n l ɪ ŋ
申明	s ɐ n m ɪ ŋ
申述	s ɐ n s ɵ t
申冤	s ɐ n j y: n
申討	s ɐ n tʰ ou
申報	s ɐ n p ou
申訴	s ɐ n s ou
申請	s ɐ n t sʰ ɪ ŋ
申辦	s ɐ n p a: n
申辯	s ɐ n p i: n
白人	p a: k j ɐ n
白天	p a: k tʰ i: n
白日	p a: k j ɐ t
白吃	p a: k h ɛ: k
白忙	p a: k m ɔ: ŋ
白米	p a: k m ɐi
白色	p a: k s ɪ k
白兔	p a: k tʰ ou
白沫	p a: k m u: t
白金	p a: kk ɐ m
白紙	p a: k t s i:
白酒	p a: k t s ɐu
白做	p a: k t s ou
白晝	p a: k t s ɐu
白晢	p a: k t s ɐ n
白淨	p a: k t s ɪ ŋ
白眼	p a: k a: n
白眼	p a: k ŋ a: n
白雪	p a: k s y: t
白粥	p a: k t s ʊ k
白菜	p a: k t sʰ ɔ:i
白費	p a: k f ɐi
白雲	p a: k w ɐ n
白飯	p a: k f a: n
白楊	p a: k j œ: ŋ
白痴	p a: k t sʰ i:
白皙	p a: k s ɪ k
白話	p a: k w a:
白鼠	p a: k s y:
白嫩	p a: k l y: n
白旗	p a: k kʰ ei
白銀	p a: k ŋ ɐ n
白銀	p a: k ɐ n
白領	p a: k l ɪ ŋ
白醋	p a: k t sʰ ou
白髮	p a: k f a: t
白糖	p a: k tʰ ɔ: ŋ
白癡	p a: k t sʰ i:
白蠟	p a: k l a: p
白鶴	p a: k h ɔ: k
白鷺	p a: k l ou
皮毛	pʰ ei m ou
皮包	pʰ ei p a:u
皮匠	pʰ ei t s œ: ŋ
皮肉	pʰ ei j ʊ k
皮衣	pʰ ei j i:
皮夾	pʰ ei k a: p
皮炎	pʰ ei j i: m
皮革	pʰ ei k a: k
皮疹	pʰ ei t sʰ ɐ n
皮脂	pʰ ei t s i:
皮帶	pʰ ei t a:i
皮球	pʰ ei kʰ ɐu
皮蛋	pʰ ei t a: n
皮袋	pʰ ei t ɔ:i
皮帽	pʰ ei m ou
皮筏	pʰ ei f a: t
皮靴	pʰ ei h ɛ:u
皮層	pʰ ei t sʰ ɐ ŋ
皮箱	pʰ ei s œ: ŋ
皮膚	pʰ ei f u:
皮鞋	pʰ ei h a:i
皮鞭	pʰ ei p i: n
皮囊	pʰ ei l ɔ: ŋ
目光	m ʊ kk w ɔ: ŋ
目的	m ʊ k t ɪ k
目前	m ʊ k t sʰ i: n
目送	m ʊ k s ʊ ŋ
目睹	m ʊ k t ou
目標	m ʊ k p i:u
目錄	m ʊ k l ʊ k
目擊	m ʊ kk ɪ k
矛盾	m a:u tʰ ɵ n
矛頭	m a:u tʰ ɐu
矢志	t sʰ i: t s i:
矢言	t sʰ i: j i: n
石子	s ɛ: k t s i:
石灰	s ɛ: k f u:i
石佛	s ɛ: k f ɐ t
石材	s ɛ: k t sʰ ɔ:i
石刻	s ɛ: k h ɐ k
石板	s ɛ: k p a: n
石油	s ɛ: k j ɐu
石屋	s ɛ: k ŋ ʊ k
石柱	s ɛ: k t sʰ y:
石料	s ɛ: k l i:u
石級	s ɛ: k kʰ ɐ p
石棉	s ɛ: k m i: n
石牌	s ɛ: k pʰ a:i
石階	s ɛ: kk a:i
石塊	s ɛ: k f a:i
石碑	s ɛ: k p ei
石窟	s ɛ: k f ɐ t
石像	s ɛ: k t s œ: ŋ
石榴	s ɛ: k l ɐu
石膏	s ɛ: kk ou
石隙	s ɛ: kk w ɪ k
石墨	s ɛ: k m ɐ k
石槽	s ɛ: k t sʰ ou
石器	s ɛ: k h ei
石壁	s ɛ: k p ɪ k
石橋	s ɛ: k kʰ i:u
石磨	s ɛ: k m ɔ:
石雕	s ɛ: k t i:u
石頭	s ɛ: k tʰ ɐu
石牆	s ɛ: k t sʰ œ: ŋ
石縫	s ɛ: k f ʊ ŋ
石罅	s ɛ: k l a:
石礦	s ɛ: k kʰ w ɔ: ŋ
石蠟	s ɛ: k l a: p
示例	s i: l ɐi
示威	s i: w ɐi
示弱	s i: j œ: k
示眾	s i: t s ʊ ŋ
示意	s i: j i:
示愛	s i:ɔ:i
示範	s i: f a: n
示警	s i: k ɪ ŋ
禾苗	w ɔ: m i:u
穴位	j y: t w ɐi
穴道	j y: tt ou
立方	l a: p f ɔ: ŋ
立冬	l a: p t ʊ ŋ
立功	l a: p k ʊ ŋ
立正	l a: p t s ɛ: ŋ
立即	l a: p t s ɪ k
立志	l a: p t s i:
立足	l a: p t s ʊ k
立刻	l a: p h ɐ k
立定	l a: p t ɪ ŋ
立法	l a: p f a: t
立契	l a: p kʰ ɐi
立春	l a: p t sʰ ɵ n
立夏	l a: p h a:
立時	l a: p s i:
立案	l a: p ɔ: n
立案	l a: p ŋ ɔ: n
立國	l a: p k w ɔ: k
立場	l a: p t sʰ œ: ŋ
立意	l a: p j i:
立誓	l a: p s ɐi
立論	l a: p l ɵ n
立憲	l a: p h i: n
立體	l a: p tʰ ɐi
丞相	s ɪ ŋ s œ: ŋ
丟失	t i:u s ɐ t
丟卻	t i:u kʰ œ: k
丟架	t i:u k a:
丟掉	t i:u t ɛ:u
丟棄	t i:u h ei
丟臉	t i:u l i: m
乒乓	pʰ ɪ ŋ pʰ ɔ: ŋ
交叉	k a:u t sʰ a:
交友	k a:u j ɐu
交付	k a:u f u:
交代	k a:u t ɔ:i
交往	k a:u w ɔ: ŋ
交易	k a:u j ɪ k
交待	k a:u t ɔ:i
交流	k a:u l ɐu
交界	k a:u k a:i
交差	k a:u t sʰ a:
交涉	k a:u s i: p
交班	k a:u p a: n
交納	k a:u l a: p
交配	k a:u pʰ u:i
交情	k a:u t sʰ ɪ ŋ
交接	k a:u t s i: p
交貨	k a:u f ɔ:
交通	k a:u tʰ ʊ ŋ
交惡	k a:uɔ: k
交換	k a:u w u: n
交替	k a:u tʰ ɐi
交稅	k a:u s ɵy
交給	k a:u kʰ ɐ p
交遊	k a:u j ɐu
交際	k a:u t s ɐi
交誼	k a:u j i:
交談	k a:u tʰ a: m
交戰	k a:u t s i: n
交錯	k a:u t sʰ ɔ:
交還	k a:u w a: n
交織	k a:u t s ɪ k
交歡	k a:u f u: n
亥時	h ɔ:i s i:
仰天	j œ: ŋ tʰ i: n
仰求	j œ: ŋ kʰ ɐu
仰臥	j œ: ŋŋ ɔ:
仰望	j œ: ŋ m ɔ: ŋ
仰視	j œ: ŋ s i:
仰慕	j œ: ŋ m ou
仰頭	j œ: ŋ tʰ ɐu
仲春	t s ʊ ŋ t sʰ ɵ n
仲夏	t s ʊ ŋ h a:
仲裁	t s ʊ ŋ t sʰ ɔ:i
件數	k i: n s ou
任內	j ɐ m l ɔ:i
任用	j ɐ m j ʊ ŋ
任何	j ɐ m h ɔ:
任免	j ɐ mm i: n
任命	j ɐ mm ɪ ŋ
任性	j ɐ m s ɪ ŋ
任務	j ɐ mm ou
任教	j ɐ m k a:u
任期	j ɐ m kʰ ei
任意	j ɐ m j i:
任憑	j ɐ m pʰ ɐ ŋ
任職	j ɐ m t s ɪ k
份子	f ɐ n t s i:
份量	f ɐ n l œ: ŋ
仿古	f ɔ: ŋ k u:
仿冒	f ɔ: ŋ m ou
仿效	f ɔ: ŋ h a:u
仿造	f ɔ: ŋ t s ou
仿傚	f ɔ: ŋ j i:u
仿照	f ɔ: ŋ t s i:u
仿製	f ɔ: ŋ t s ɐi
企盼	kʰ ei pʰ a: n
企業	kʰ ei j i: p
企劃	kʰ ei w a: k
企圖	kʰ ei tʰ ou
企管	kʰ ei k u: n
企鵝	kʰ ei ŋ ɔ:
企鵝	kʰ eiɔ:
伉儷	kʰ ɔ: ŋ l ɐi
伊人	j i: j ɐ n
伎倆	k ei l œ: ŋ
伏下	f ʊ k h a:
伏兵	f ʊ k p ɪ ŋ
伏法	f ʊ k f a: t
伏特	f ʊ k t ɐ k
伏筆	f ʊ k p ɐ t
伏擊	f ʊ kk ɪ k
伐木	f ɐ t m ʊ k
伐樹	f ɐ t s y:
休止	j ɐu t s i:
休克	j ɐu h ɐ k
休妻	j ɐu t sʰ ɐi
休庭	j ɐu tʰ ɪ ŋ
休息	j ɐu s ɪ k
休書	j ɐu s y:
休假	j ɐu k a:
休閒	j ɐu h a: n
休想	j ɐu s œ: ŋ
休會	j ɐu w u:i
休業	j ɐu j i: p
休養	j ɐu j œ: ŋ
休學	j ɐu h ɔ: k
休憩	j ɐu h ei
休戰	j ɐu t s i: n
伙同	f ɔ: tʰ ʊ ŋ
伙伴	f ɔ: p u: n
伙計	f ɔ: k ei
伙食	f ɔ: s ɪ k
伙頭	f ɔ: tʰ ɐu
兆頭	s i:u tʰ ɐu
兇手	h ʊ ŋ s ɐu
兇犯	h ʊ ŋ f a: n
兇狠	h ʊ ŋ h ɐ n
兇悍	h ʊ ŋ h ɔ: n
兇案	h ʊ ŋ ɔ: n
兇殺	h ʊ ŋ s a: t
兇猛	h ʊ ŋ m a: ŋ
兇惡	h ʊ ŋ ɔ: k
兇殘	h ʊ ŋ t sʰ a: n
兇器	h ʊ ŋ h ei
兇險	h ʊ ŋ h i: m
先人	s i: n j ɐ n
先天	s i: n tʰ i: n
先父	s i: n f u:
先王	s i: n w ɔ: ŋ
先生	s i: n s a: ŋ
先兆	s i: n s i:u
先決	s i: n kʰ y: t
先例	s i: n l ɐi
先知	s i: n t s i:
先前	s i: n t sʰ i: n
先後	s i: n h ɐu
先哲	s i: n t s i: t
先師	s i: n s i:
先烈	s i: n l i: t
先朝	s i: n t sʰ i:u
先進	s i: n t s ɵ n
先賢	s i: n j i: n
先輩	s i: n p u:i
先鋒	s i: n f ʊ ŋ
先導	s i: n t ou
先機	s i: n k ei
先驅	s i: n kʰ ɵy
光火	k w ɔ: ŋ f ɔ:
光年	k w ɔ: ŋ l i: n
光年	k w ɔ: ŋ n i: n
光束	k w ɔ: ŋ t sʰ ʊ k
光禿	k w ɔ: ŋ tʰ ʊ k
光芒	k w ɔ: ŋ m ɔ: ŋ
光明	k w ɔ: ŋ m ɪ ŋ
光采	k w ɔ: ŋ t sʰ ɔ:i
光亮	k w ɔ: ŋ l œ: ŋ
光度	k w ɔ: ŋ t ou
光柱	k w ɔ: ŋ t sʰ y:
光圈	k w ɔ: ŋ h y: n
光彩	k w ɔ: ŋ t sʰ ɔ:i
光速	k w ɔ: ŋ t sʰ ʊ k
光陰	k w ɔ: ŋ j ɐ m
光復	k w ɔ: ŋ f ʊ k
光景	k w ɔ: ŋ k ɪ ŋ
光棍	k w ɔ: ŋ k w ɐ n
光源	k w ɔ: ŋ j y: n
光滑	k w ɔ: ŋ w a: t
光榮	k w ɔ: ŋ w ɪ ŋ
光影	k w ɔ: ŋ j ɪ ŋ
光線	k w ɔ: ŋ s i: n
光輝	k w ɔ: ŋ f ɐi
光學	k w ɔ: ŋ h ɔ: k
光澤	k w ɔ: ŋ t s a: k
光頭	k w ɔ: ŋ tʰ ɐu
光環	k w ɔ: ŋ w a: n
光臨	k w ɔ: ŋ l ɐ m
光鮮	k w ɔ: ŋ s i: n
光譜	k w ɔ: ŋ pʰ ou
光顧	k w ɔ: ŋ k u:
光纖	k w ɔ: ŋ t sʰ i: m
全人	t sʰ y: n j ɐ n
全力	t sʰ y: n l ɪ k
全心	t sʰ y: n s ɐ m
全文	t sʰ y: n m ɐ n
全年	t sʰ y: n l i: n
全年	t sʰ y: nn i: n
全局	t sʰ y: n k ʊ k
全身	t sʰ y: n s ɐ n
全長	t sʰ y: n t s œ: ŋ
全面	t sʰ y: n m i: n
全班	t sʰ y: n p a: n
全神	t sʰ y: n s ɐ n
全能	t sʰ y: nn ɐ ŋ
全能	t sʰ y: n l ɐ ŋ
全國	t sʰ y: n k w ɔ: k
全球	t sʰ y: n kʰ ɐu
全票	t sʰ y: n pʰ i:u
全速	t sʰ y: n t sʰ ʊ k
全部	t sʰ y: n p ou
全都	t sʰ y: n t ou
全景	t sʰ y: n k ɪ ŋ
全程	t sʰ y: n t sʰ ɪ ŋ
全集	t sʰ y: n t s a: p
全貌	t sʰ y: n m a:u
全數	t sʰ y: n s ou
全盤	t sʰ y: n pʰ u: n
全額	t sʰ y: n ŋ a: k
全額	t sʰ y: n a: k
全權	t sʰ y: n kʰ y: n
全體	t sʰ y: n tʰ ɐi
共主	k ʊ ŋ t s y:
共犯	k ʊ ŋ f a: n
共生	k ʊ ŋ s ɐ ŋ
共同	k ʊ ŋ tʰ ʊ ŋ
共存	k ʊ ŋ t sʰ y: n
共有	k ʊ ŋ j ɐu
共事	k ʊ ŋ s i:
共享	k ʊ ŋ h œ: ŋ
共和	k ʊ ŋ w ɔ:
共居	k ʊ ŋ k ɵy
共度	k ʊ ŋ t ou
共產	k ʊ ŋ t sʰ a: n
共通	k ʊ ŋ tʰ ʊ ŋ
共聚	k ʊ ŋ t s ɵy
共鳴	k ʊ ŋ m ɪ ŋ
共識	k ʊ ŋ s ɪ k
再三	t s ɔ:i s a: m
再世	t s ɔ:i s ɐi
再生	t s ɔ:i s ɐ ŋ
再次	t s ɔ:i t sʰ i:
再見	t s ɔ:i k i: n
再版	t s ɔ:i p a: n
再者	t s ɔ:i t s ɛ:
再度	t s ɔ:i t ou
再婚	t s ɔ:i f ɐ n
再現	t s ɔ:i j i: n
再造	t s ɔ:i t s ou
再嫁	t s ɔ:i k a:
再會	t s ɔ:i w u:i
再說	t s ɔ:i s y: t
再審	t s ɔ:i s ɐ m
冰刀	p ɪ ŋ t ou
冰山	p ɪ ŋ s a: n
冰川	p ɪ ŋ t sʰ y: n
冰水	p ɪ ŋ s ɵy
冰冷	p ɪ ŋ l a: ŋ
冰河	p ɪ ŋ h ɔ:
冰封	p ɪ ŋ f ʊ ŋ
冰柱	p ɪ ŋ t sʰ y:
冰凍	p ɪ ŋ t ʊ ŋ
冰峰	p ɪ ŋ f ʊ ŋ
冰涼	p ɪ ŋ l œ: ŋ
冰球	p ɪ ŋ kʰ ɐu
冰袋	p ɪ ŋ t ɔ:i
冰雪	p ɪ ŋ s y: t
冰棒	p ɪ ŋ pʰ a: ŋ
冰窖	p ɪ ŋ k a:u
冰塊	p ɪ ŋ f a:i
冰雹	p ɪ ŋ p ɔ: k
冰箱	p ɪ ŋ s œ: ŋ
冰磚	p ɪ ŋ t s y: n
冰糖	p ɪ ŋ tʰ ɔ: ŋ
冰錐	p ɪ ŋ t s ɵy
冰雕	p ɪ ŋ t i:u
冰點	p ɪ ŋ t i: m
冰鎮	p ɪ ŋ t s ɐ n
刑事	j ɪ ŋ s i:
刑具	j ɪ ŋ k ɵy
刑房	j ɪ ŋ f ɔ: ŋ
刑法	j ɪ ŋ f a: t
刑責	j ɪ ŋ t s a: k
刑場	j ɪ ŋ t sʰ œ: ŋ
刑期	j ɪ ŋ kʰ ei
刑罰	j ɪ ŋ f ɐ t
刑警	j ɪ ŋ k ɪ ŋ
划拳	w a: kʰ y: n
划動	w a: t ʊ ŋ
划船	w a: s y: n
划艇	w a: tʰ ɪ ŋ
划算	w a: s y: n
划槳	w a: t s œ: ŋ
列入	l i: t j ɐ p
列出	l i: tt sʰ ɵ t
列印	l i: t j ɐ n
列車	l i: tt sʰ ɛ:
列表	l i: t p i:u
列為	l i: t w ɐi
列島	l i: tt ou
列席	l i: tt s ɪ k
列強	l i: t kʰ œ: ŋ
列隊	l i: tt ɵy
列傳	l i: tt sʰ y: n
列舉	l i: t k ɵy
劣貨	l y: t f ɔ:
劣等	l y: tt ɐ ŋ
劣勢	l y: t s ɐi
劣種	l y: tt s ʊ ŋ
劣質	l y: tt s ɐ t
劣績	l y: tt s ɪ k
印出	j ɐ n t sʰ ɵ t
印台	j ɐ n tʰ ɔ:i
印本	j ɐ n p u: n
印刷	j ɐ n t sʰ a: t
印花	j ɐ n f a:
印書	j ɐ n s y:
印記	j ɐ n k ei
印盒	j ɐ n h ɐ p
印章	j ɐ n t s œ: ŋ
印發	j ɐ n f a: t
印象	j ɐ n t s œ: ŋ
印模	j ɐ n m ou
印證	j ɐ n t s ɪ ŋ
危及	ŋ ɐi kʰ ɐ p
危局	ŋ ɐi k ʊ k
危急	ɐi k ɐ p
危急	ŋ ɐi k ɐ p
危殆	ɐi t ɔ:i
危殆	ŋ ɐi t ɔ:i
危殆	ɐi tʰ ɔ:i
危害	ŋ ɐi h ɔ:i
危害	ɐi h ɔ:i
危樓	ŋ ɐi l ɐu
危機	ɐi k ei
危機	ŋ ɐi k ei
危險	ŋ ɐi h i: m
危險	ɐi h i: m
危難	ŋ ɐi n a: n
吃力	h ɛ: k l ɪ k
吃下	h ɛ: k h a:
吃完	h ɛ: k j y: n
吃苦	h ɛ: k f u:
吃重	h ɛ: k t sʰ ʊ ŋ
吃香	h ɛ: k h œ: ŋ
吃素	h ɛ: k s ou
吃草	h ɛ: k t sʰ ou
吃掉	h ɛ: k t ɛ:u
吃透	h ɛ: k tʰ ɐu
吃喝	h ɛ: k h ɔ: t
吃飯	h ɛ: k f a: n
吃飽	h ɛ: k p a:u
吃醋	h ɛ: k t sʰ ou
吃虧	h ɛ: k kʰ w ɐi
吃齋	h ɛ: k t s a:i
吃驚	h ɛ: kk ɛ: ŋ
各人	k ɔ: k j ɐ n
各自	k ɔ: k t s i:
各位	k ɔ: k w ɐi
各界	k ɔ: kk a:i
各個	k ɔ: kk ɔ:
各處	k ɔ: k t sʰ y:
各項	k ɔ: k h ɔ: ŋ
各種	k ɔ: k t s ʊ ŋ
